fec_name,office,website
NicholasSOlenik,House,https://olenik.us
MichaelCKarslake,House,https://www.mikekarslake.com
MichaelBFeggans,House,https://michaelfeggans.com
CatAPorterfield,House,https://catporterfield.com
AnneFerrellTata,House,https://teamtata.org
RobertSBloxomJr,House,https://robbloxom100.com
EmilyGScott,Senate,https://scottforstatesenate.org
MarkDObenshain,Senate,https://www.markobenshain.com
ChristopherTHead,Senate,https://chrisheadva.com
PATrishWhite-Boyd,Senate,https://trishwhite-boyd.com
TTravisHackworth,Senate,https://www.travishackworth.com
ToddEPillion,Senate,https://www.toddpillion.com
DeborahIRenieGates,Senate,https://www.friendsofreniegates.com
WilliamMBillStanleyJr,Senate,https://stanleyforsenate.com
MarkJPeake,Senate,https://peakeforsenate.com
FrankMRuffJr,Senate,https://senatorfrankruff.com
JohnJMcGuireIII,Senate,https://mcguireforvirginia.com
RCreighDeeds,Senate,https://www.senatordeeds.com
GlenHSturtevantJr,Senate,https://glensturtevant.com
LashrecseDAird,Senate,https://lashrecseaird.com
EricFDitri,Senate,https://ericditri.com
LamontBagby,Senate,https://lamontbagby.org
SchuylerTVanValkenburg,Senate,https://vanvalkenburg4va.com
SiobhanSDunnavant,Senate,https://dunnavantdelivers.com
AnthonyWTonyGoodwin,Senate,https://www.agoodwinforportsmouth.com
VictoriaALuevanos,Senate,https://victorialuevanos.com
WilliamRBillDeSteph,Senate,https://www.billdesteph.com
AngeliaWilliamsGraves,Senate,https://angeliawilliamsgraves.com
AaronRRouse,Senate,https://rouseforsenate.com
MamieELocke,Senate,https://www.senatorlocke.com
TMontyMason,Senate,https://masonforvirginia.com
JDDannyDiggs,Senate,https://www.diggsforsenate.com
JoliciaAWard,Senate,https://www.joliciaforva.org
RichardHStuart,Senate,https://www.stuartforsenate.com
JoelLGriffin,Senate,https://joelgriffinva.com
TaraADurant,Senate,https://taradurant.com
BryceEReeves,Senate,https://www.brycereeves.com
GregoryJMoulthrop,Senate,https://gregmoulthrop.com
JenniferDCarrollFoy,Senate,https://jennifercarrollfoy.com
DavidWMarsden,Senate,https://marsdenforsenate.nationbuilder.com
MarkBVafiades,Senate,https://markforva.com
StellaGPekarsky,Senate,https://stellapekarsky.com
JulieAnnaPerry,Senate,https://julieforsenate.com
SaddamAzlanSalim,Senate,https://salimforsenate.com
KennethDKenReid,Senate,https://kenreid.org
JenniferBBoysko,Senate,https://jenniferboysko.com
MatthewJMattLang,Senate,https://www.langforva.com
AdamPEbbin,Senate,https://www.adamebbin.com
SophiaCMoshasha,Senate,https://www.sophia4va.com
BarbaraAFavola,Senate,https://www.barbarafavola.org
KristinLHoffman,House,https://kristin4delegate.org/
IreneShin,House,https://www.ireneforva.com/
MaxBFisher,House,https://www.maxfisherforvirginia.com/home
EdwardFMcGovern,House,https://www.edmcgovernva.org/
PaulKLott,House,https://paullottfordelegate.com/
EstherMNizer,House,https://www.nizer4va.org/
TerryLAustin,House,https://www.delegateterryaustin.com/
PatriciaLynnQuesenberry,House,https://www.quesenberryforvirginia.com/platform
KimberlyAMoran,House,https://www.kmoran4va.org/
EricRZehr,House,https://www.zehrfordelegate.org/
LarryJJackson,House,https://www.friendsoflarryjackson.com/
MarkJLux,House,https://www.luxforvirginia.com/
JohnQSmith,House,https://www.johnqforva.org/
HillaryPughKent,House,https://www.hillarypughkentva.com/
WChadGreen,House,https://greenfordelegate.com/
DebraDGardner,House,https://debragardnerfordelegate.com/
DucMTruong,House,https://www.ducforvirginia.com/
KarenLJenkins,House,https://karenforvirginia.com/
KarenSGreenhalgh,House,https://karengreenhalgh.com/
TimmyFFrench,Senate,https://www.timmyfrench.com/
JoshuaJHuffman,Senate,https://principlesbeforeparty.com/
RobertWBeckman,Senate,https://www.beckman4senate.com/
PhilipAHamilton,Senate,https://www.hamiltonforvasenate.com/
NatanDMcKenzie,Senate,https://natanmckenzieforva12.com/
DouglassHaydenFisher,Senate,https://www.haydenfisherforvirginia.com/
LLouiseLucas,Senate,https://www.senatorlouiselucas.com/
ChristieNewCraig,Senate,https://christienewcraig.com/
JasonAFord,Senate,https://fordforva.com/
ElizabethGMelson,Senate,https://melsonforvirginia.com/
BillCWoolfIII,Senate,https://www.woolf4va.com/
RussetWPerry,Senate,https://russetperry.com/
DavidAHenshaw,Senate,https://www.henshaw4va.com/
